"symbol","RO","RA","RA-RO","PRA-RO","FDR"
"FOXO4",8.13244502452802,9.22594844441369,1.09350341988567,0.000358698555229775,0.0201557510199287
"MIR6847",2.97410037218032,5.28686415338856,2.31276378120824,0.000359319436700242,0.0201557510199287
"ITGA10",4.12446403949448,5.0384677192872,0.914003679792711,0.000363736446968244,0.0202972515250925
"CEP152",4.25119555243862,4.86325974198831,0.612064189549691,0.000374366168932236,0.0207821716784455
"LOC101928269",2.09715330255455,3.21296642895483,1.11581312640028,0.000377090069415306,0.0208792920088661
"CDK2AP2",7.38675613109183,7.87520947473817,0.488453343646336,0.000388990114648016,0.0213113206810467
"SVIL-AS1",6.28420183795145,6.55532387753531,0.271122039583855,0.00041106072981423,0.0222992640973654
"SLC35G6",3.45240388328511,4.56495377540726,1.11254989212215,0.000421576507389759,0.0225838535008694
"ATF1",5.09221143170615,5.59331845024449,0.501107018538343,0.000425879852839117,0.0226854612562158
"AKR1C1",5.16430476818487,6.02978436987527,0.865479601690399,0.000427707968429679,0.0226854612562158
"GRB10",7.93337112849915,8.23483051473297,0.301459386233817,0.000434393509163145,0.0226901022437301
"DAXX",4.77598622440652,5.09732113291268,0.321334908506158,0.000433507024853059,0.0226901022437301
"ZNF768",7.66839147421184,8.14085394713761,0.472462472925767,0.00043612924785147,0.0226901022437301
"LOC101929151",0.645308189611209,1.50772391143454,0.862415721823334,0.000431323094965172,0.0226901022437301
"CLDN15",5.52634129155467,6.49055146401192,0.964210172457248,0.00043536535688282,0.0226901022437301
"ALOX15B",3.30824148635929,4.55801145253222,1.24976996617293,0.000429911638012824,0.0226901022437301
"SERPINF2",3.78051982092215,4.82581731330794,1.04529749238579,0.00043908418674518,0.0227263187284437
"LOC101928731",4.15702900742243,4.95616989925634,0.799140891833911,0.000445436307402341,0.0229442528726379
"KANK2",6.68022567275392,7.4030311935927,0.722805520838783,0.000447979856112721,0.0230199337093127
"ZBTB44",6.84444239418995,7.3137318974441,0.469289503254156,0.000461302585636582,0.0235352185833826
"TP53I3",5.19276952331084,5.76661267026627,0.573843146955435,0.000467312358582912,0.0237852000468281
"LOC285847",2.93169199071639,3.80654926181036,0.874857271093968,0.00047068474099229,0.0239000773222341
"P2RX7",7.62736501837684,8.60418331973933,0.976818301362487,0.000483319192392137,0.0242542474346106
"EFCAB2",5.1375176349902,5.68349289489724,0.545975259907033,0.000485635730846342,0.0242568821458634
"CALML4",4.46561150930458,5.03757615511455,0.571964645809973,0.000484846532142474,0.0242568821458634
"SNORD104",8.04427616016022,9.09679667126296,1.05252051110275,0.000500395908622403,0.0247632414086856
